policy_id,policy_number,customer_id,pet_id,plan_name,monthly_premium,annual_deductible,coverage_limit,reimbursement_percentage,effective_date,expiration_date,status,payment_method,payment_frequency,waiting_period_days,includes_wellness,includes_dental,includes_behavioral,cancellation_date,renewal_count,created_at,updated_at
ef966b0d-e916-4ab2-85a5-857fb16dce16,PI2025-366570,ad55fbbe-ae6b-47fd-ad64-450aeb4fa64a,31706213-8402-4447-b68e-c5e47ddc9017,Standard,58.730765275950716,250,15000,80,2023-07-31,2024-07-30,Active,Credit Card,Annual,14,False,False,False,,4,2023-07-31T00:00:00,2025-12-22T21:19:28.820472
c8bb6607-02f7-44d4-814d-03a2d4a44039,PI2025-775030,b05630e2-62ee-4f35-86d0-2473be1732d7,46197b29-b776-41a6-bb66-8a8904d3188e,Basic,23.217654242723388,500,5000,70,2022-05-05,2023-05-05,Active,Credit Card,Monthly,30,True,False,False,,4,2022-05-05T00:00:00,2025-12-22T21:19:28.820524
25e8d32a-7c58-424d-9a79-2f7c87a609a9,PI2025-235783,328555ac-b5df-409b-bdc0-a25dc2b289dc,aae18e6b-17fc-48f5-a1e9-a750422cf5d4,Premium,72.30490845790574,100,30000,90,2022-11-04,2023-11-04,Expired,PayPal,Annual,14,False,True,True,,5,2022-11-04T00:00:00,2025-12-22T21:19:28.820562
0f1a8ad0-8a99-41f5-b5c2-3d505fe12990,PI2025-168021,1df4ce8e-581e-49f5-b97d-aa57ec06f2df,7cfeb1ac-7ecd-44f2-ba2e-c0ea71503780,Basic,32.01359976974158,500,5000,70,2024-01-02,2025-01-01,Active,Bank Transfer,Monthly,14,True,False,False,,5,2024-01-02T00:00:00,2025-12-22T21:19:28.820596
394b0475-ce62-4dd3-9d8c-ca078f3ffe99,PI2025-503272,caf03de9-6136-44c8-a3ea-3766ea106575,9763fe9a-d89c-4438-a714-64a1ab0b16fc,Unlimited,126.71693876233621,0,999999,100,2023-07-23,2024-07-22,Active,Debit Card,Monthly,14,False,True,True,,1,2023-07-23T00:00:00,2025-12-22T21:19:28.820627
e99e2042-16b8-41ad-937c-f975f3d96d11,PI2025-226964,94489c1f-de95-4045-a2db-8431d12fd836,c7c9a8ba-565b-4b7a-91bc-f12db5c6cd2d,Unlimited,127.0474137736604,0,999999,100,2023-09-17,2024-09-16,Active,Debit Card,Annual,14,False,False,True,,1,2023-09-17T00:00:00,2025-12-22T21:19:28.820658
3ed88c2b-6802-4a3b-ad4b-7e1bf527acc4,PI2025-512891,a6751107-0f22-4aab-b652-c5f902e7d872,6f27aeb5-9940-4fa6-b5ed-89f1a7fe4944,Premium,73.63960211901312,100,30000,90,2024-02-17,2025-02-16,Active,PayPal,Annual,30,False,True,False,,3,2024-02-17T00:00:00,2025-12-22T21:19:28.820688
c465fb84-2d36-4e14-a50b-60d5be448a08,PI2025-820771,ebe3a02c-454e-4fa4-9348-9b848c912ffd,2092d792-523c-49d4-b521-a5abb96130c7,Basic,36.59368758191868,500,5000,70,2020-06-15,2021-06-15,Active,PayPal,Monthly,30,True,True,True,,4,2020-06-15T00:00:00,2025-12-22T21:19:28.820727
1e81892f-e631-46ce-92ff-c33866809e1b,PI2025-222409,fa524437-b1f9-4de8-ba0a-f43f55ec1891,db7a1ccc-cea3-47b7-be0b-f7d92143d816,Standard,49.41705996369251,250,15000,80,2020-01-26,2021-01-25,Active,Credit Card,Annual,30,True,True,True,,4,2020-01-26T00:00:00,2025-12-22T21:19:28.820758
4da74932-d3ac-40c3-a699-575266b47221,PI2025-796015,24867d1d-bc5d-449a-b086-c11b3d24eeb1,8b9e1da9-059c-4ec2-b96a-ab48e260c1f1,Standard,54.23947733105516,250,15000,80,2021-10-30,2022-10-30,Pending,Debit Card,Monthly,30,True,True,True,,3,2021-10-30T00:00:00,2025-12-22T21:19:28.820789
721abbfc-3f39-4c88-b028-43ad6923acf0,PI2025-350061,0a17bb4b-6de0-472f-9f52-c8f2e239ba90,6f9ff195-ee20-484a-8995-9fbb7cac2020,Standard,56.02566690032765,250,15000,80,2024-08-25,2025-08-25,Active,Debit Card,Annual,14,True,False,True,,4,2024-08-25T00:00:00,2025-12-22T21:19:28.820819
33d51722-b71d-4163-8036-8b8128954f1d,PI2025-983981,fc4613a6-10ad-44c0-9464-77e3312b2b74,86ad056f-00e1-4dde-bcde-0b99e6d5601b,Basic,31.7318861130756,500,5000,70,2023-10-10,2024-10-09,Active,Bank Transfer,Annual,14,False,False,False,,0,2023-10-10T00:00:00,2025-12-22T21:19:28.820849
155223fe-b62e-4b36-b2ea-b13d057206df,PI2025-905883,26411a3c-b2af-499f-857b-d558feb88c9c,69bf7cfa-4909-4bc1-a1aa-f0c7c84d10f5,Premium,83.04347454040122,100,30000,90,2024-09-02,2025-09-02,Pending,Credit Card,Monthly,30,False,True,True,,2,2024-09-02T00:00:00,2025-12-22T21:19:28.820878
e397f4c8-abe7-4280-b3ae-81b1c932b2d0,PI2025-985806,33e7194f-2fbc-48e0-867b-9a92c2eb41e8,b8cf52c7-275c-42ae-89ce-28229f454d05,Unlimited,132.1870149536365,0,999999,100,2024-05-01,2025-05-01,Active,Bank Transfer,Monthly,30,False,False,False,,5,2024-05-01T00:00:00,2025-12-22T21:19:28.820909
2a4fbd4f-014a-49c4-a71a-2a82a7df8b65,PI2025-921506,90b3d1b4-fc0d-424b-953d-8b0aa368bc4b,5a94ba5e-10ab-4853-88bb-9cb6468e7fca,Unlimited,123.63108098107179,0,999999,100,2022-02-16,2023-02-16,Active,Bank Transfer,Monthly,14,False,False,True,,5,2022-02-16T00:00:00,2025-12-22T21:19:28.820940
f5861abc-4287-47fe-a6c4-7d94e0c6b28a,PI2025-256343,39fc9207-1cac-431d-aa50-3df06bee395b,3e395bb6-1947-41a6-b003-2ce1596b4fa1,Standard,40.51851776288784,250,15000,80,2024-04-09,2025-04-09,Expired,Debit Card,Annual,30,False,True,True,,2,2024-04-09T00:00:00,2025-12-22T21:19:28.820971
